date_key,full_date,day,month,month_name,quarter,year,week_day,weekend_flag
20170121,2017-01-21,21,1,January,1,2017,Saturday,True
20170122,2017-01-22,22,1,January,1,2017,Sunday,True
20170123,2017-01-23,23,1,January,1,2017,Monday,False
20170124,2017-01-24,24,1,January,1,2017,Tuesday,False
20170125,2017-01-25,25,1,January,1,2017,Wednesday,False
20170126,2017-01-26,26,1,January,1,2017,Thursday,False
20170127,2017-01-27,27,1,January,1,2017,Friday,False
20170128,2017-01-28,28,1,January,1,2017,Saturday,True
20170129,2017-01-29,29,1,January,1,2017,Sunday,True
20170130,2017-01-30,30,1,January,1,2017,Monday,False
20170131,2017-01-31,31,1,January,1,2017,Tuesday,False
20170201,2017-02-01,1,2,February,1,2017,Wednesday,False
20170202,2017-02-02,2,2,February,1,2017,Thursday,False
20170203,2017-02-03,3,2,February,1,2017,Friday,False
20170204,2017-02-04,4,2,February,1,2017,Saturday,True
20170205,2017-02-05,5,2,February,1,2017,Sunday,True
20170206,2017-02-06,6,2,February,1,2017,Monday,False
20170207,2017-02-07,7,2,February,1,2017,Tuesday,False
20170208,2017-02-08,8,2,February,1,2017,Wednesday,False
20170209,2017-02-09,9,2,February,1,2017,Thursday,False
20170210,2017-02-10,10,2,February,1,2017,Friday,False
20170211,2017-02-11,11,2,February,1,2017,Saturday,True
20170212,2017-02-12,12,2,February,1,2017,Sunday,True
20170213,2017-02-13,13,2,February,1,2017,Monday,False
20170214,2017-02-14,14,2,February,1,2017,Tuesday,False
20170215,2017-02-15,15,2,February,1,2017,Wednesday,False
20170216,2017-02-16,16,2,February,1,2017,Thursday,False
20170217,2017-02-17,17,2,February,1,2017,Friday,False
20170218,2017-02-18,18,2,February,1,2017,Saturday,True
20170219,2017-02-19,19,2,February,1,2017,Sunday,True
20170220,2017-02-20,20,2,February,1,2017,Monday,False
20170221,2017-02-21,21,2,February,1,2017,Tuesday,False
20170222,2017-02-22,22,2,February,1,2017,Wednesday,False
20170223,2017-02-23,23,2,February,1,2017,Thursday,False
20170224,2017-02-24,24,2,February,1,2017,Friday,False
20170225,2017-02-25,25,2,February,1,2017,Saturday,True
20170226,2017-02-26,26,2,February,1,2017,Sunday,True
20170227,2017-02-27,27,2,February,1,2017,Monday,False
20170228,2017-02-28,28,2,February,1,2017,Tuesday,False
20170301,2017-03-01,1,3,March,1,2017,Wednesday,False
20170302,2017-03-02,2,3,March,1,2017,Thursday,False
20170303,2017-03-03,3,3,March,1,2017,Friday,False
20170304,2017-03-04,4,3,March,1,2017,Saturday,True
20170305,2017-03-05,5,3,March,1,2017,Sunday,True
20170306,2017-03-06,6,3,March,1,2017,Monday,False
20170307,2017-03-07,7,3,March,1,2017,Tuesday,False
20170308,2017-03-08,8,3,March,1,2017,Wednesday,False
20170309,2017-03-09,9,3,March,1,2017,Thursday,False
20170310,2017-03-10,10,3,March,1,2017,Friday,False
20170311,2017-03-11,11,3,March,1,2017,Saturday,True
20170312,2017-03-12,12,3,March,1,2017,Sunday,True
20170313,2017-03-13,13,3,March,1,2017,Monday,False
20170314,2017-03-14,14,3,March,1,2017,Tuesday,False
20170315,2017-03-15,15,3,March,1,2017,Wednesday,False
20170316,2017-03-16,16,3,March,1,2017,Thursday,False
20170317,2017-03-17,17,3,March,1,2017,Friday,False
20170318,2017-03-18,18,3,March,1,2017,Saturday,True
20170319,2017-03-19,19,3,March,1,2017,Sunday,True
20170320,2017-03-20,20,3,March,1,2017,Monday,False
20170321,2017-03-21,21,3,March,1,2017,Tuesday,False
20170322,2017-03-22,22,3,March,1,2017,Wednesday,False
20170323,2017-03-23,23,3,March,1,2017,Thursday,False
20170324,2017-03-24,24,3,March,1,2017,Friday,False
20170325,2017-03-25,25,3,March,1,2017,Saturday,True
20170326,2017-03-26,26,3,March,1,2017,Sunday,True
